,start_time,end_time,instrument,note,note_value
350,1914846,1939422,1,41,Eighth
351,1914846,1953246,42,63,Dotted Eighth
352,1914846,1953246,42,69,Dotted Eighth
353,1914846,1960414,41,84,Quarter
354,1914846,1960414,43,60,Quarter
355,1939422,1960414,1,65,Eighth
356,1939422,1960414,1,53,Eighth
357,1960414,1984478,1,58,Eighth
358,1960414,1984478,1,46,Eighth
359,1960414,1998814,42,62,Dotted Eighth
360,1960414,1998814,42,70,Dotted Eighth
361,1960414,2007006,41,86,Quarter
362,1960414,2007006,43,62,Quarter
363,1984478,2007006,1,46,Eighth
364,1984478,2007006,1,34,Eighth
365,2007006,2029534,1,45,Eighth
366,2007006,2029534,1,33,Eighth
367,2007006,2043870,42,67,Dotted Eighth
368,2007006,2043870,42,73,Dotted Eighth
369,2007006,2051550,41,88,Quarter
370,2007006,2051550,43,64,Quarter
371,2029534,2051550,1,57,Eighth
372,2029534,2051550,1,45,Eighth
373,2051550,2083294,1,50,Eighth
374,2051550,2083294,1,38,Eighth
375,2051550,2149854,41,89,Half
376,2051550,2149854,42,65,Half
377,2051550,2149854,42,74,Half
378,2051550,2149854,43,65,Half
379,2083294,2106846,1,33,Eighth
380,2083294,2106846,1,45,Eighth
381,2106846,2134494,1,41,Eighth
382,2106846,2134494,1,29,Eighth
383,2134494,2158558,1,38,Eighth
384,2134494,2158558,1,26,Eighth
385,2158558,2186718,1,31,Eighth
386,2158558,2186718,1,43,Eighth
387,2158558,2216414,41,87,Quarter
388,2158558,2216414,42,67,Quarter
389,2158558,2216414,42,70,Quarter
390,2158558,2216414,43,63,Quarter
391,2186718,2216414,1,55,Eighth
392,2186718,2216414,1,43,Eighth
393,2216414,2239966,1,57,Eighth
394,2216414,2239966,1,45,Eighth
395,2216414,2254814,41,85,Dotted Eighth
396,2216414,2254814,42,64,Dotted Eighth
397,2216414,2254814,42,67,Dotted Eighth
398,2216414,2254814,43,61,Dotted Eighth
399,2239966,2261982,1,45,Eighth
400,2239966,2261982,1,33,Eighth
401,2262494,2290142,1,38,Eighth
402,2262494,2304990,41,86,Dotted Eighth
403,2262494,2304990,42,57,Dotted Eighth
404,2262494,2304990,42,66,Dotted Eighth
405,2262494,2304990,43,62,Dotted Eighth
406,2262494,2304990,1,50,Dotted Eighth
407,2290142,2312158,1,38,Eighth
408,2312158,2328030,1,66,Triplet
409,2312158,2356190,43,66,Quarter
410,2312158,2356190,42,74,Quarter
411,2312158,2328030,1,62,Triplet
412,2312158,2389982,1,38,Dotted Quarter
413,2312158,2372062,41,74,Tied Quarter-Sixteenth
414,2312158,2328030,1,74,Triplet
415,2328542,2342878,1,62,Triplet
416,2328542,2342878,1,66,Triplet
417,2328542,2342878,1,74,Triplet
418,2343390,2355678,1,74,Triplet
419,2343390,2355678,1,66,Triplet
420,2343390,2355678,1,62,Triplet
421,2356190,2401758,43,67,Quarter
422,2356190,2371550,1,62,Triplet
423,2356190,2371550,1,64,Triplet
424,2356190,2371550,1,67,Triplet
425,2356190,2371550,1,73,Triplet
426,2356190,2401758,42,73,Quarter
427,2372062,2385886,1,73,Triplet
428,2372062,2385886,1,64,Triplet
429,2372062,2385886,1,62,Triplet
430,2372062,2385886,1,67,Triplet
431,2378718,2401246,41,74,Eighth
432,2386398,2401246,1,64,Triplet
433,2386398,2401246,1,67,Triplet
434,2386398,2401246,1,73,Triplet
435,2386398,2401246,1,62,Triplet
436,2401758,2442206,42,72,Quarter
437,2401758,2416094,1,62,Triplet
438,2401758,2416094,1,66,Triplet
439,2401758,2416094,1,69,Triplet
440,2401758,2416094,1,72,Triplet
441,2401758,2423774,41,74,Eighth
442,2401758,2437086,1,38,Dotted Eighth
443,2401758,2442206,43,69,Quarter
444,2416094,2429918,1,72,Triplet
445,2416094,2429918,1,69,Triplet
446,2416094,2429918,1,66,Triplet
447,2416094,2429918,1,62,Triplet
448,2423774,2441694,41,75,Eighth
449,2430430,2441694,1,66,Triplet
450,2430430,2441694,1,69,Triplet
451,2430430,2441694,1,62,Triplet
452,2430430,2441694,1,72,Triplet
453,2442206,2515422,1,38,Dotted Quarter
454,2442206,2456542,1,62,Triplet
455,2442206,2456542,1,67,Triplet
456,2442206,2456542,1,71,Triplet
457,2442206,2482654,42,71,Quarter
458,2442206,2482654,43,62,Quarter
459,2442206,2496990,41,75,Tied Quarter-Sixteenth
460,2457054,2468830,1,71,Triplet
461,2457054,2468830,1,67,Triplet
462,2457054,2468830,1,62,Triplet
463,2469342,2482142,1,67,Triplet
464,2469342,2482142,1,71,Triplet
465,2469342,2482142,1,62,Triplet
466,2482654,2496478,1,70,Triplet
467,2482654,2516958,42,70,Dotted Eighth
468,2482654,2496478,1,61,Triplet
469,2482654,2516958,43,67,Dotted Eighth
470,2482654,2496478,1,67,Triplet
471,2496990,2511326,1,70,Triplet
472,2496990,2511326,1,61,Triplet
473,2496990,2511326,1,67,Triplet
474,2504158,2523614,41,76,Eighth
475,2511326,2523614,1,67,Triplet
476,2511326,2523614,1,61,Triplet
477,2511326,2523614,1,70,Triplet
478,2524126,2563550,42,69,Quarter
479,2524126,2558430,1,38,Dotted Eighth
480,2524126,2546142,41,79,Eighth
481,2524126,2563550,43,60,Quarter
482,2524126,2537950,1,60,Triplet
483,2524126,2537950,1,69,Triplet
484,2538462,2552286,1,69,Triplet
485,2538462,2552286,1,60,Triplet
486,2546142,2563038,41,76,Eighth
487,2552798,2563038,1,60,Triplet
488,2552798,2563038,1,69,Triplet
489,2563550,2576350,1,59,Triplet
490,2563550,2576350,1,62,Triplet
491,2563550,2576350,1,69,Triplet
492,2563550,2602974,42,62,Quarter
493,2563550,2634206,1,38,Dotted Quarter
494,2563550,2617310,41,78,Tied Quarter-Sixteenth
495,2563550,2602974,43,59,Quarter
496,2576862,2590174,1,62,Triplet
497,2576862,2590174,1,59,Triplet
498,2576862,2590174,1,69,Triplet
499,2590686,2602974,1,59,Triplet
500,2590686,2602974,1,62,Triplet
501,2590686,2602974,1,69,Triplet
502,2602974,2616798,1,67,Triplet
503,2602974,2616798,1,58,Triplet
504,2602974,2645470,42,67,Quarter
505,2602974,2645470,43,58,Quarter
506,2602974,2616798,1,62,Triplet
507,2617310,2631134,1,67,Triplet
508,2617310,2631134,1,62,Triplet
509,2617310,2631134,1,58,Triplet
510,2623966,2644958,41,79,Eighth
511,2631646,2644958,1,62,Triplet
512,2631646,2644958,1,58,Triplet
513,2631646,2644958,1,67,Triplet
514,2645470,2716126,1,38,Dotted Quarter
515,2645470,2684382,42,64,Quarter
516,2645470,2684382,43,55,Quarter
517,2645470,2659294,1,55,Triplet
518,2645470,2659294,1,61,Triplet
519,2645470,2659294,1,64,Triplet
520,2645470,2684382,41,82,Quarter
521,2659806,2673630,1,55,Triplet
522,2659806,2673630,1,64,Triplet
523,2659806,2673630,1,61,Triplet
524,2674142,2683870,1,61,Triplet
525,2674142,2683870,1,64,Triplet
526,2674142,2683870,1,55,Triplet
527,2684382,2719198,43,54,Dotted Eighth
528,2684382,2698206,1,54,Triplet
529,2684382,2698206,1,62,Triplet
530,2684382,2698206,1,66,Triplet
531,2684382,2719198,41,81,Dotted Eighth
532,2684382,2719198,42,66,Dotted Eighth
533,2698718,2712542,1,54,Triplet
534,2698718,2712542,1,62,Triplet
535,2698718,2712542,1,66,Triplet
536,2712542,2725854,1,62,Triplet
537,2712542,2725854,1,66,Triplet
538,2712542,2725854,1,54,Triplet
539,2726366,2741726,42,50,Triplet
540,2726366,2741726,42,62,Triplet
541,2726366,2802142,1,50,Half
542,2726366,2802142,1,62,Half
543,2742238,2755550,42,50,Triplet
544,2742238,2755550,42,62,Triplet
545,2755550,2767838,42,50,Triplet
546,2755550,2767838,42,62,Triplet
547,2768350,2779614,42,50,Triplet
548,2768350,2877918,1,43,Dotted Half
549,2768350,2877918,1,31,Dotted Half
550,2768350,2779614,42,62,Triplet
551,2768350,2779614,43,43,Triplet
552,2780126,2794462,43,43,Triplet
553,2780126,2794462,42,62,Triplet
554,2780126,2794462,42,50,Triplet
555,2794974,2808286,42,50,Triplet
556,2794974,2808286,42,62,Triplet
557,2794974,2808286,43,43,Triplet
558,2808798,2819550,43,43,Triplet
559,2808798,2819550,41,71,Triplet
560,2808798,2819550,41,79,Triplet
561,2808798,2819550,42,55,Triplet
562,2808798,2819550,42,67,Triplet
563,2808798,2861534,1,50,Tied Quarter-Sixteenth
564,2808798,2861534,1,62,Tied Quarter-Sixteenth
565,2820062,2834398,41,79,Triplet
566,2820062,2834398,43,43,Triplet
567,2820062,2834398,42,55,Triplet
568,2820062,2834398,42,67,Triplet
569,2820062,2834398,41,71,Triplet
570,2834398,2848222,41,79,Triplet
571,2834398,2848222,42,55,Triplet
572,2834398,2848222,42,67,Triplet
573,2834398,2848222,43,43,Triplet
574,2834398,2848222,41,71,Triplet
575,2848734,2861534,43,43,Triplet
576,2848734,2861534,42,60,Triplet
577,2848734,2861534,41,78,Triplet
578,2848734,2861534,41,69,Triplet
579,2848734,2861534,42,67,Triplet
580,2861534,2875357,41,69,Triplet
581,2861534,2875357,41,78,Triplet
582,2861534,2875357,42,60,Triplet
583,2861534,2875357,42,67,Triplet
584,2861534,2875357,43,43,Triplet
585,2868702,2887134,1,50,Eighth
586,2868702,2887134,1,62,Eighth
587,2875357,2887134,42,60,Triplet
588,2875357,2887134,41,69,Triplet
589,2875357,2887134,43,43,Triplet
590,2875357,2887134,42,67,Triplet
591,2875357,2887134,41,78,Triplet
592,2887646,2900446,41,77,Triplet
593,2887646,2900446,41,68,Triplet
594,2887646,2900446,42,59,Triplet
595,2887646,2900446,42,67,Triplet
596,2887646,2900446,43,43,Triplet
597,2887646,2908125,1,50,Eighth
598,2887646,2908125,1,62,Eighth
599,2887646,2920413,1,31,Dotted Eighth
600,2887646,2920413,1,43,Dotted Eighth
601,2900958,2913757,42,59,Triplet
602,2900958,2913757,42,67,Triplet
603,2900958,2913757,43,43,Triplet
604,2900958,2913757,41,68,Triplet
605,2900958,2913757,41,77,Triplet
606,2908125,2926558,1,63,Eighth
607,2908125,2926558,1,51,Eighth
608,2914270,2926558,41,68,Triplet
609,2914270,2926558,42,67,Triplet
610,2914270,2926558,41,77,Triplet
611,2914270,2926558,42,59,Triplet
612,2914270,2926558,43,43,Triplet
613,2926558,2977758,1,63,Tied Quarter-Sixteenth
614,2926558,2995166,1,43,Dotted Quarter
615,2926558,2995166,1,31,Dotted Quarter
616,2926558,2938334,41,67,Triplet
617,2926558,2938334,41,75,Triplet
618,2926558,2938334,42,60,Triplet
619,2926558,2938334,42,67,Triplet
620,2926558,2938334,43,43,Triplet
621,2926558,2977758,1,51,Tied Quarter-Sixteenth
622,2938334,2951134,43,43,Triplet
623,2938334,2951134,41,67,Triplet
624,2938334,2951134,41,75,Triplet
625,2938334,2951134,42,60,Triplet
626,2938334,2951134,42,67,Triplet
627,2951646,2963934,43,43,Triplet
628,2951646,2963934,42,67,Triplet
629,2951646,2963934,42,60,Triplet
630,2951646,2963934,41,67,Triplet
631,2951646,2963934,41,75,Triplet
632,2964445,2977246,41,67,Triplet
633,2964445,2977246,42,67,Triplet
634,2964445,2977246,43,43,Triplet
635,2964445,2977246,42,58,Triplet
636,2964445,2977246,41,73,Triplet
637,2977758,2991582,42,58,Triplet
638,2977758,2991582,42,67,Triplet
639,2977758,2991582,43,43,Triplet
640,2977758,2991582,41,67,Triplet
641,2977758,2991582,41,73,Triplet
642,2984926,3003869,1,64,Eighth
643,2984926,3003869,1,52,Eighth
644,2992094,3003869,41,64,Triplet
645,2992094,3003869,42,67,Triplet
646,2992094,3003869,41,73,Triplet
647,2992094,3003869,42,58,Triplet
648,2992094,3003869,43,43,Triplet
649,3003869,3024350,1,67,Eighth
650,3003869,3037150,1,43,Dotted Eighth
651,3003869,3037150,1,31,Dotted Eighth
652,3003869,3017182,41,64,Triplet
653,3003869,3017182,41,72,Triplet
654,3003869,3017182,42,57,Triplet
655,3003869,3017182,42,67,Triplet
656,3003869,3017182,43,43,Triplet
657,3003869,3024350,1,55,Eighth
658,3017182,3030494,42,57,Triplet
659,3017182,3030494,41,64,Triplet
660,3017182,3030494,41,72,Triplet
661,3017182,3030494,42,67,Triplet
662,3017182,3030494,43,43,Triplet
663,3024350,3041758,1,52,Eighth
664,3024350,3041758,1,64,Eighth
665,3031006,3041758,42,67,Triplet
666,3031006,3041758,41,72,Triplet
667,3031006,3041758,41,64,Triplet
668,3031006,3041758,43,43,Triplet
669,3031006,3041758,42,57,Triplet
670,3042270,3093470,1,65,Tied Quarter-Sixteenth
671,3042270,3053022,41,65,Triplet
672,3042270,3053022,41,72,Triplet
673,3042270,3053022,42,56,Triplet
674,3042270,3053022,42,65,Triplet
675,3042270,3053022,43,43,Triplet
676,3042270,3093470,1,53,Tied Quarter-Sixteenth
677,3042270,3110878,1,31,Dotted Quarter
678,3042270,3110878,1,43,Dotted Quarter
679,3053533,3067358,43,43,Triplet
680,3053533,3067358,41,65,Triplet
681,3053533,3067358,41,72,Triplet
682,3053533,3067358,42,56,Triplet
683,3053533,3067358,42,65,Triplet
684,3067870,3081182,43,43,Triplet
685,3067870,3081182,41,65,Triplet
686,3067870,3081182,41,72,Triplet
687,3067870,3081182,42,56,Triplet
688,3067870,3081182,42,65,Triplet
689,3081182,3092957,41,68,Triplet
690,3081182,3092957,41,60,Triplet
691,3081182,3092957,42,65,Triplet
692,3081182,3092957,43,43,Triplet
693,3093470,3106782,41,60,Triplet
694,3093470,3106782,43,43,Triplet
695,3093470,3106782,41,68,Triplet
696,3093470,3106782,42,65,Triplet
697,3100126,3120094,1,68,Eighth
698,3100126,3120094,1,56,Eighth
699,3106782,3120094,42,65,Triplet
700,3106782,3120094,41,68,Triplet
701,3106782,3120094,41,60,Triplet
702,3106782,3120094,43,43,Triplet
703,3120606,3131870,41,66,Triplet
704,3120606,3159006,1,72,Quarter
705,3120606,3188701,1,43,Dotted Quarter
706,3120606,3188701,1,31,Dotted Quarter
707,3120606,3131870,41,57,Triplet
708,3120606,3159006,1,60,Quarter
709,3120606,3131870,42,63,Triplet
710,3120606,3131870,43,43,Triplet
711,3132381,3146718,43,43,Triplet
712,3132381,3146718,42,63,Triplet
713,3132381,3146718,41,66,Triplet
714,3132381,3146718,41,57,Triplet
715,3146718,3158494,42,63,Triplet
716,3146718,3158494,41,57,Triplet
717,3146718,3158494,41,66,Triplet
718,3146718,3158494,43,43,Triplet
719,3159006,3170782,43,43,Triplet
720,3159006,3170782,41,67,Triplet
721,3159006,3170782,41,59,Triplet
