,start_time,end_time,note
138,1314270,1335262,45
139,1335774,1349086,85
140,1335774,1349086,73
141,1335774,1349086,69
142,1335774,1349086,42
143,1353694,1367006,81
144,1353694,1367006,69
145,1353694,1367006,63
146,1353694,1367006,47
147,1375198,1399774,80
148,1375198,1399774,68
149,1375198,1399774,64
150,1375198,1399774,40
151,1418205,1435614,64
152,1435614,1453022,52
153,1435614,1490398,74
154,1435614,1490398,59
155,1435614,1490398,56
156,1453022,1470430,52
157,1470942,1490398,52
158,1490398,1499102,73
159,1490398,1510366,52
160,1490398,1545182,61
161,1490398,1545182,57
162,1499102,1507805,76
163,1510366,1526238,52
164,1510366,1515998,74
165,1518557,1524189,73
166,1526750,1533406,71
167,1526750,1545182,52
168,1535965,1542110,69
169,1545182,1563102,59
170,1545182,1551838,68
171,1545182,1563102,62
172,1545182,1563102,52
173,1554398,1561054,64
174,1563102,1571806,68
175,1573854,1579998,71
176,1582558,1588190,76
177,1590750,1596893,78
178,1597405,1603550,80
179,1605598,1611742,76
180,1613278,1618910,80
181,1620958,1627102,81
182,1629150,1635294,83
183,1637854,1643486,85
184,1646046,1698782,71
185,1646046,1698782,68
186,1646046,1663454,64
187,1646046,1698782,86
188,1663454,1682398,64
189,1682398,1698782,64
190,1699294,1754077,69
191,1699294,1707486,85
192,1699294,1715678,64
193,1699294,1754077,73
194,1707486,1713630,88
195,1715678,1721822,86
196,1715678,1735646,64
197,1726942,1733598,85
198,1735646,1741790,83
199,1735646,1754077,64
200,1743838,1751518,81
201,1754590,1771998,74
202,1754590,1760222,80
203,1754590,1771998,71
204,1754590,1771998,64
205,1762782,1769950,78
206,1771998,1778654,76
207,1780702,1787357,75
208,1789406,1794526,76
209,1796574,1802206,78
210,1804253,1809885,80
211,1812446,1817566,81
212,1820126,1826269,82
213,1828318,1834462,83
214,1836510,1843677,84
215,1845726,1851358,85
216,1853406,1860574,86
217,1853406,1873374,53
218,1863134,1871325,83
219,1873886,1880542,80
220,1873886,1891806,71
221,1873886,1891806,68
222,1883102,1889758,74
223,1891806,1909214,71
224,1891806,1898973,86
225,1891806,1909214,74
226,1901022,1907166,86
227,1909214,1917406,85
228,1909214,1931230,54
229,1919454,1928670,81
230,1931742,1952734,61
231,1931742,1938397,78
232,1931742,1952734,69
233,1940958,1949661,73
234,1952734,1958878,85
235,1952734,1967070,73
236,1952734,1967070,69
237,1959902,1965022,85
238,1967070,1973214,85
239,1967070,1983966,56
240,1975774,1981918,80
241,1983966,1988573,76
242,1983966,1999837,64
243,1983966,1999837,61
244,1991134,1997790,73
245,2000350,2006494,85
246,2000350,2013150,73
247,2000350,2013150,64
248,2007518,2012638,85
249,2013150,2027997,57
250,2013150,2017758,85
251,2018782,2025950,79
252,2027997,2044381,64
253,2027997,2034142,76
254,2027997,2044381,61
255,2036702,2042334,73
256,2044893,2061277,73
257,2044893,2051038,85
258,2044893,2061277,64
259,2053598,2059230,85
260,2061277,2067421,80
261,2061277,2078173,56
262,2069470,2075614,76
263,2078173,2098142,64
264,2078173,2084830,73
265,2078173,2098142,61
266,2088414,2096094,68
267,2098654,2115038,64
268,2098654,2104798,68
269,2098654,2115038,68
270,2106846,2112990,68
271,2115550,2132446,44
272,2115550,2122206,68
273,2123742,2129886,63
274,2132446,2140126,60
275,2132446,2150878,56
276,2132446,2150878,54
277,2142686,2148830,56
278,2151390,2168798,56
279,2151390,2157534,56
280,2151390,2168798,54
281,2159582,2166238,56
282,2168798,2188766,37
283,2168798,2229726,61
284,2168798,2229726,56
285,2168798,2229726,52
286,2188766,2210782,37
287,2211294,2229726,37
288,2230238,2285534,64
289,2230238,2249182,37
290,2230238,2285534,61
291,2230238,2285534,56
292,2249694,2266590,37
293,2266590,2285534,37
294,2285534,2376670,60
295,2285534,2311134,57
296,2285534,2322398,63
297,2285534,2302942,37
298,2302942,2322398,37
299,2312158,2322398,56
300,2322398,2340318,37
301,2322398,2327006,64
302,2322398,2332126,57
303,2327006,2332126,63
304,2332126,2340318,56
305,2332126,2336222,61
306,2336222,2340318,63
307,2340318,2357214,54
308,2340318,2357214,37
309,2340318,2376670,68
310,2357726,2376670,37
311,2357726,2376670,54
312,2377182,2395614,60
313,2377182,2395614,54
314,2377182,2385886,57
315,2377182,2395614,37
316,2385886,2395614,56
317,2396126,2456030,52
318,2396126,2416094,61
319,2396126,2416094,37
320,2396126,2456030,56
321,2416094,2436062,37
322,2416094,2420702,63
323,2420702,2425822,61
324,2425822,2436062,60
325,2436062,2446302,61
326,2436062,2456030,37
327,2446814,2456030,63
328,2456030,2468830,64
329,2456030,2468830,52
330,2456030,2468830,49
331,2480094,2495454,64
332,2480094,2495454,52
333,2480094,2495454,49
334,2503646,2518494,64
335,2503646,2518494,52
336,2503646,2518494,49
337,2611166,2617822,73
338,2632670,2687454,76
339,2650590,2670046,73
340,2670558,2687454,69
341,2687454,2739678,71
342,2704862,2721758,68
343,2722270,2739678,64
344,2739678,2748894,74
345,2748894,2761694,73
346,2761694,2771422,71
347,2761694,2780126,61
348,2771422,2780126,69
349,2780126,2797534,57
350,2780126,2789342,68
351,2789854,2797534,69
352,2798046,2815454,73
353,2798046,2815454,64
354,2815454,2827742,71
355,2831838,2847710,73
356,2852318,2908638,76
357,2873310,2890718,73
358,2890718,2908638,69
359,2914270,2950110,73
360,2931677,2950110,69
361,2950110,2965982,66
362,2950110,2965982,73
363,2965982,3025374,81
364,2994654,3010014,78
365,3010014,3025374,75
366,3025374,3059678,75
367,3042782,3059678,71
368,3059678,3085278,75
369,3059678,3085278,69
370,3085278,3141086,83
371,3104734,3122142,67
372,3122142,3141086,64
373,3141086,3149277,81
374,3149277,3159006,79
375,3159006,3167198,78
376,3159006,3175902,71
377,3167710,3175902,76
378,3176414,3185630,79
379,3176414,3194333,67
380,3185630,3194333,76
381,3194333,3212254,74
382,3212254,3231198,69
383,3212254,3216861,76
384,3216861,3223518,74
385,3223518,3227614,73
386,3227614,3231710,74
387,3231710,3252190,57
388,3231710,3239902,78
389,3231710,3252190,57
390,3240414,3252190,76
391,3252190,3275742,74
392,3252190,3275742,62
393,3252190,3314654,69
394,3275742,3295710,54
395,3296222,3314654,50
396,3314654,3374558,64
397,3335646,3355102,49
398,3355102,3374558,61
399,3355102,3374558,45
400,3375070,3383262,67
401,3375070,3427806,69
402,3383262,3391966,66
403,3391966,3408350,38
404,3391966,3399646,64
405,3399646,3408350,62
406,3408350,3427806,42
407,3408350,3418078,61
408,3418590,3427806,62
409,3428318,3438046,62
410,3428318,3482078,64
411,3438558,3447774,61
412,3447774,3466718,45
413,3447774,3458014,59
414,3458014,3466718,57
415,3466718,3474910,59
416,3466718,3482078,69
417,3466718,3482078,55
418,3474910,3482078,61
419,3482590,3533790,81
420,3482590,3490781,67
421,3482590,3500510,62
422,3491294,3500510,66
423,3500510,3516894,69
424,3500510,3516894,54
425,3500510,3508190,64
426,3508190,3516894,62
427,3516894,3525086,61
428,3516894,3533790,45
429,3525086,3533790,62
430,3533790,3584478,76
431,3533790,3541982,62
432,3533790,3550174,57
433,3542494,3550174,61
434,3550686,3567582,64
435,3550686,3559390,59
436,3550686,3567582,49
437,3559390,3567582,57
438,3567582,3575774,56
439,3567582,3584478,45
440,3575774,3584478,57
441,3584478,3640798,69
442,3584478,3593182,79
443,3584478,3601374,57
444,3593182,3601374,78
445,3601886,3622878,66
446,3601886,3613150,76
447,3601886,3622878,50
448,3613661,3622878,74
449,3622878,3631070,73
450,3622878,3640798,45
451,3631070,3640798,74
452,3640798,3658717,78
453,3640798,3658717,57
454,3640798,3650014,61
455,3650014,3658717,69
456,3659230,3666910,73
457,3659230,3671518,76
458,3659230,3678174,67
459,3659230,3678174,57
460,3667422,3678174,69
461,3678174,3686366,69
462,3678174,3686366,76
463,3678174,3694558,55
464,3686366,3694558,73
465,3694558,3710942,66
466,3694558,3710942,74
467,3694558,3744222,81
468,3710942,3727326,62
469,3710942,3727326,54
470,3727838,3744222,50
471,3727838,3779550,69
472,3744222,3761118,57
473,3744222,3779550,78
474,3761118,3779550,62
475,3761118,3779550,49
476,3780062,3803614,78
477,3780062,3803614,50
478,3780062,3837917,66
479,3803614,3857374,86
480,3803614,3820510,59
481,3820510,3837917,62
482,3820510,3837917,46
483,3838430,3857374,47
484,3838430,3876317,74
485,3857374,3876317,59
486,3857374,3895262,80
487,3876317,3895262,68
488,3876317,3895262,64
489,3876317,3895262,52
490,3895262,3913694,50
491,3895262,3913694,80
492,3895262,3944926,76
493,3914206,3962846,88
494,3914206,3928542,61
495,3928542,3944926,57
496,3928542,3944926,48
497,3944926,4001758,69
498,3944926,3962846,49
499,3963358,3972061,86
500,3963358,3980766,61
501,3972574,3980766,85
502,3980766,3988957,83
503,3980766,4001758,66
504,3980766,4001758,54
505,3988957,4001758,81
506,4001758,4018142,73
507,4001758,4009950,80
508,4001758,4018142,52
509,4001758,4038110,66
510,4009950,4018142,81
511,4018654,4038110,83
512,4018654,4038110,78
513,4018654,4038110,50
514,4038110,4055006,62
515,4038110,4055006,86
516,4038110,4055006,74
517,4038110,4055006,47
518,4060126,4073438,52
519,4060126,4073438,59
520,4060126,4073438,74
521,4060126,4073438,80
522,4077534,4107742,81
523,4077534,4107742,73
524,4077534,4107742,57
525,4077534,4107742,45
526,4127198,4145118,64
527,4145118,4195806,71
528,4145118,4195806,68
529,4145118,4195806,64
530,4145118,4195806,62
531,4195806,4269534,69
532,4195806,4269534,73
533,4195806,4269534,64
534,4195806,4269534,61
535,4269534,4275166,76
536,4269534,4283358,68
537,4269534,4283358,64
538,4269534,4283358,59
539,4275166,4280286,74
540,4280286,4286942,73
541,4288990,4295134,74
542,4288990,4300254,71
543,4288990,4300254,64
544,4288990,4300254,56
545,4297694,4303326,71
546,4305886,4318174,64
547,4305886,4313054,76
548,4305886,4318174,68
549,4305886,4318174,52
550,4315102,4321758,74
551,4323806,4350942,73
552,4323806,4350942,64
553,4323806,4350942,64
554,4323806,4350942,57
555,4364254,4376030,81
556,4398558,4453342,83
557,4398558,4453342,64
558,4398558,4453342,71
559,4398558,4453342,56
560,4398558,4453342,50
561,4453342,4515294,57
562,4453342,4515294,85
563,4453342,4515294,64
564,4453342,4515294,73
565,4453342,4515294,49
566,4515294,4539870,57
567,4515294,4550110,88
568,4515294,4550110,66
569,4515294,4562398,47
570,4541406,4555230,69
571,4550110,4557278,74
572,4550110,4557278,86
573,4562398,4569054,85
574,4562398,4569054,74
575,4562398,4576222,68
576,4562398,4580830,52
577,4571614,4578270,83
578,4571614,4578270,74
579,4580830,4615134,45
580,4580830,4615134,81
581,4580830,4615134,73
582,4580830,4615134,69
583,4634078,4654558,64
584,4654558,4714462,74
585,4654558,4714462,59
586,4654558,4714462,56
587,4654558,4675550,52
588,4675550,4691934,52
589,4692446,4714462,52
590,4714462,4764126,57
591,4714462,4722654,73
592,4714462,4731358,52
593,4714462,4764126,61
594,4722654,4729310,76
595,4731358,4748766,52
596,4731358,4737502,74
597,4740574,4746718,73
598,4749278,4754398,71
599,4749278,4764126,52
600,4756446,4762078,69
601,4765150,4783070,59
602,4765150,4783070,52
603,4765150,4771806,68
604,4765150,4783070,62
605,4773342,4781022,64
606,4783070,4790238,68
607,4792286,4798430,71
608,4800478,4807134,76
609,4809694,4815326,78
610,4817886,4824030,80
611,4826078,4832734,76
612,4835294,4841950,80
613,4843998,4850142,81
614,4852190,4860382,83
615,4862430,4869086,85
616,4871646,4888030,64
617,4871646,4922846,86
618,4871646,4922846,71
619,4871646,4922846,68
620,4888030,4904926,64
621,4904926,4922846,64
622,4923358,4977630,69
623,4923358,4931038,85
624,4923358,4939230,64
625,4923358,4977630,73
626,4931550,4937182,88
627,4939742,4956638,64
628,4939742,4945886,86
629,4947934,4955102,85
630,4956638,4962782,83
631,4956638,4977630,64
632,4964830,4975582,81
633,4977630,4997086,71
634,4977630,4997086,64
635,4977630,4984286,80
636,4977630,4997086,74
637,4986846,4994014,78
638,4997598,5004766,76
639,5007326,5013470,75
640,5015518,5020638,76
641,5022686,5028318,78
642,5030366,5036510,80
643,5038558,5044702,81
644,5047262,5052894,82
645,5055454,5062110,83
646,5064158,5070814,84
647,5072862,5079006,85
648,5081054,5087198,86
649,5081054,5099486,53
650,5089246,5097438,83
651,5099998,5107678,80
652,5099998,5119966,68
653,5099998,5119966,71
654,5110238,5117918,74
655,5120478,5127646,86
656,5120478,5137886,74
657,5120478,5137886,71
658,5129694,5135838,86
659,5137886,5155294,54
660,5137886,5145054,85
661,5147102,5153246,81
662,5155294,5160926,78
663,5155294,5171166,69
664,5155294,5171166,61
665,5163486,5169118,73
666,5171678,5178846,85
667,5171678,5189598,73
668,5171678,5189598,69
669,5181406,5187550,85
670,5189598,5205470,56
671,5189598,5195742,85
672,5197790,5203422,80
673,5205470,5222878,64
674,5205470,5211614,76
675,5205470,5222878,61
676,5213662,5220830,73
677,5223390,5239774,73
678,5223390,5229022,85
679,5223390,5239774,64
680,5231582,5237726,85
681,5239774,5248478,85
682,5239774,5258718,57
683,5250526,5256670,79
684,5258718,5277662,61
685,5258718,5266910,76
686,5258718,5277662,64
687,5268958,5275614,73
688,5278174,5283806,85
689,5278174,5294046,73
690,5278174,5294046,64
691,5286366,5291998,85
692,5294558,5301214,80
693,5294558,5311966,56
694,5303262,5309406,76
695,5311966,5318110,73
696,5311966,5327838,64
697,5311966,5327838,61
698,5319646,5325790,68
699,5327838,5333982,68
700,5327838,5344222,68
701,5327838,5344222,64
702,5336542,5342686,68
703,5344734,5364190,44
704,5344734,5351390,68
705,5353438,5361630,63
706,5364702,5382622,56
707,5364702,5371358,60
708,5364702,5382622,54
709,5373918,5380062,56
710,5382622,5406174,56
711,5382622,5390302,56
712,5382622,5406174,54
713,5393374,5403614,56
714,5406174,5429726,37
715,5406174,5466078,61
716,5406174,5466078,56
717,5406174,5466078,52
718,5429726,5448670,37
719,5449182,5466078,37
720,5466590,5483998,37
721,5466590,5520350,64
722,5466590,5520350,61
723,5466590,5520350,56
724,5485022,5502942,37
725,5502942,5520350,37
726,5520350,5556702,63
727,5520350,5539806,37
728,5520350,5546974,57
729,5520350,5611998,60
730,5539806,5556702,37
731,5547486,5556702,56
732,5556702,5567454,57
733,5556702,5575646,37
734,5556702,5561822,64
735,5561822,5567454,63
736,5567454,5575646,56
737,5567454,5571550,61
738,5571550,5575646,63
739,5575646,5593566,54
740,5575646,5593566,37
741,5575646,5611998,68
742,5594078,5611998,37
743,5594078,5611998,54
744,5612510,5622750,57
745,5612510,5632478,60
746,5612510,5632478,54
747,5612510,5632478,37
748,5622750,5632478,56
749,5632990,5693917,56
750,5632990,5650910,37
751,5632990,5650910,61
752,5632990,5693917,52
753,5650910,5671902,37
754,5650910,5655006,63
755,5655006,5659614,61
756,5659614,5671902,60
757,5671902,5682653,61
758,5671902,5693917,37
759,5683166,5693917,63
760,5693917,5708766,64
761,5693917,5708766,52
762,5693917,5708766,49
763,5714398,5726686,64
764,5714398,5726686,52
765,5714398,5726686,49
766,5734365,5746654,64
767,5734365,5746654,52
768,5734365,5746654,49
769,5850078,5856734,73
770,5870558,5925854,76
771,5891550,5908446,73
772,5908958,5925854,69
773,5925854,5980125,71
774,5942750,5959646,68
775,5960158,5980125,64
776,5980125,5988830,74
777,5988830,5999070,73
778,5999070,6007261,71
779,5999070,6016990,61
780,6007261,6016990,69
781,6016990,6035934,57
782,6016990,6027230,68
783,6027742,6035934,69
784,6036445,6052830,73
785,6036445,6052830,64
786,6052830,6065118,71
787,6069214,6082014,73
788,6087134,6151134,76
789,6111198,6129630,73
790,6129630,6151134,69
791,6152670,6187998,73
792,6169565,6187998,69
793,6187998,6204894,73
794,6187998,6204894,66
795,6204894,6258142,81
796,6226910,6242782,78
797,6242782,6258142,75
798,6258142,6292958,75
799,6275549,6292958,71
800,6292958,6320094,75
801,6292958,6320094,69
802,6320094,6377950,83
803,6345694,6360542,67
804,6361053,6377950,64
805,6377950,6386142,81
806,6386142,6397406,79
807,6397406,6405086,78
808,6397406,6414302,71
809,6405598,6414302,76
810,6414814,6425566,79
811,6414814,6435294,67
812,6425566,6435294,76
813,6435294,6453214,74
814,6453214,6459358,76
815,6453214,6473694,69
816,6459358,6463454,74
817,6463454,6468062,73
818,6468062,6474718,74
819,6474718,6482398,78
820,6474718,6491102,57
821,6474718,6491102,57
822,6482909,6491102,76
823,6491102,6514142,62
824,6491102,6514142,74
825,6491102,6549470,69
826,6514142,6532573,54
827,6533086,6549470,50
828,6549982,6606302,64
829,6569950,6588382,49
830,6588382,6606302,61
831,6588382,6606302,45
832,6606813,6661085,69
833,6606813,6616029,67
834,6616029,6624734,66
835,6624734,6641630,38
836,6624734,6633949,64
837,6633949,6641630,62
838,6641630,6650334,61
839,6641630,6661085,42
840,6650334,6661085,62
841,6661598,6716382,64
842,6661598,6672349,62
843,6672862,6680542,61
844,6680542,6690269,59
845,6680542,6699486,45
846,6690269,6699486,57
847,6699486,6716382,55
848,6699486,6707678,59
849,6699486,6716382,69
850,6707678,6716382,61
851,6717405,6771166,81
852,6717405,6726622,67
853,6717405,6735325,62
854,6727134,6735325,66
855,6735838,6744030,64
856,6735838,6754782,69
857,6735838,6754782,54
858,6744030,6754782,62
859,6754782,6762974,61
860,6754782,6771166,45
861,6762974,6771166,62
862,6771166,6824414,76
863,6771166,6779358,62
864,6771166,6787550,57
865,6779870,6787550,61
866,6788062,6799838,59
867,6788062,6808030,64
868,6788062,6808030,49
869,6799838,6808030,57
870,6808030,6824414,45
871,6808030,6816734,56
872,6816734,6824414,57
873,6824414,6833118,79
874,6824414,6841822,57
875,6824414,6877662,69
876,6833118,6841822,78
877,6842334,6850526,76
878,6842334,6859742,66
879,6842334,6859742,50
880,6851038,6859742,74
881,6859742,6869470,73
882,6859742,6877662,45
883,6869470,6877662,74
884,6877662,6894046,57
885,6877662,6885854,61
886,6877662,6894046,78
887,6885854,6894046,69
888,6894558,6902237,73
889,6894558,6907870,76
890,6894558,6913501,67
891,6894558,6913501,57
892,6902750,6913501,69
893,6914526,6923742,69
894,6914526,6923742,76
895,6914526,6932446,55
896,6923742,6932446,73
897,6932446,6982110,81
898,6932446,6949342,74
899,6932446,6949342,66
900,6949342,6965213,54
901,6949342,6965213,62
902,6965726,6982110,50
903,6965726,7017950,69
904,6982110,7017950,78
905,6982110,6998494,57
906,6998494,7017950,49
907,6998494,7017950,62
908,7018462,7042013,50
909,7018462,7042013,78
910,7018462,7076830,66
911,7042013,7094238,86
912,7042013,7058910,59
913,7058910,7076830,46
914,7058910,7076830,62
915,7077342,7094238,47
916,7077342,7112670,74
917,7094750,7112670,59
918,7094750,7132125,80
919,7112670,7132125,52
920,7112670,7132125,68
921,7112670,7132125,64
922,7132125,7183326,76
923,7132125,7150046,80
924,7132125,7150046,50
925,7150558,7200734,88
926,7150558,7166942,61
927,7166942,7183326,57
928,7166942,7183326,48
929,7183326,7235550,69
930,7183326,7200734,49
931,7201246,7208414,86
932,7201246,7216606,61
933,7208925,7216606,85
934,7216606,7235550,66
935,7216606,7224798,83
936,7216606,7235550,54
937,7224798,7235550,81
938,7235550,7243742,80
939,7235550,7271390,66
940,7235550,7252446,73
941,7235550,7252446,52
942,7243742,7252446,81
943,7252958,7271390,78
944,7252958,7271390,83
945,7252958,7271390,50
946,7271901,7284702,86
947,7271901,7284702,74
948,7271901,7284702,62
949,7271901,7284702,47
950,7291358,7309790,59
951,7291358,7309790,80
952,7291358,7309790,74
953,7291358,7309790,52
954,7314398,7343582,81
955,7314398,7343582,73
956,7314398,7343582,57
957,7314398,7343582,45
958,7361502,7379422,64
959,7379422,7432670,71
960,7379422,7432670,68
961,7379422,7432670,64
962,7379422,7432670,62
963,7432670,7501789,73
964,7432670,7501789,69
965,7432670,7501789,64
966,7432670,7501789,61
967,7502302,7515614,64
968,7502302,7506910,76
969,7502302,7515614,68
970,7502302,7515614,59
971,7506910,7512030,74
972,7512030,7519198,73
973,7523294,7529438,74
974,7523294,7534558,71
975,7523294,7534558,64
976,7523294,7534558,56
977,7531486,7538142,71
978,7540702,7548382,76
979,7540702,7553502,68
980,7540702,7553502,64
981,7540702,7553502,52
982,7550942,7557086,74
983,7559134,7582174,73
984,7559134,7582174,64
985,7559134,7582174,64
986,7559134,7582174,57
987,7588318,7600094,81
988,7622622,7696862,83
989,7622622,7696862,64
990,7622622,7696862,71
991,7622622,7696862,56
992,7622622,7696862,50
993,7696862,7759326,64
994,7696862,7759326,73
995,7696862,7759326,57
996,7696862,7759326,85
997,7696862,7759326,49
998,7759838,7800286,47
999,7759838,7781341,57
1000,7759838,7791582,88
1001,7759838,7791582,66
1002,7781341,7795678,69
1003,7791582,7797726,86
1004,7791582,7797726,74
1005,7800798,7807454,74
1006,7800798,7815646,68
1007,7800798,7807454,85
1008,7800798,7820766,52
1009,7810526,7818206,83
1010,7810526,7818206,74
1011,7821278,7868894,81
1012,7821278,7868894,73
1013,7821278,7868894,69
1014,7821278,7868894,45
1015,7886814,7911390,64
1016,7886814,7911390,52
1017,7911902,7955422,73
1018,7911902,7935454,61
1019,7911902,7935454,49
1020,7911902,7955422,76
1021,7911902,7955422,45
1022,7935454,7955422,52
1023,7935454,7955422,64
1024,7955422,7977950,73
1025,7955422,7977950,76
1026,7955422,7977950,69
1027,7955422,7977950,57
1028,7955422,7977950,40
1029,7978462,7997406,69
1030,7978462,7997406,57
1031,7978462,8016350,74
1032,7978462,8016350,76
1033,7978462,8016350,47
1034,7997406,8016350,68
1035,7997406,8016350,56
1036,8016350,8039902,69
1037,8016350,8039902,76
1038,8016350,8039902,74
1039,8016350,8039902,57
1040,8016350,8039902,40
1041,8040926,8076765,50
1042,8040926,8058334,71
1043,8040926,8058334,59
1044,8040926,8076765,64
1045,8040926,8076765,76
1046,8058334,8062430,73
1047,8058334,8062430,61
1048,8062430,8066526,59
1049,8062430,8066526,71
1050,8066526,8076765,58
1051,8066526,8076765,70
1052,8076765,8098782,64
1053,8076765,8098782,40
1054,8076765,8098782,76
1055,8076765,8087518,59
1056,8076765,8087518,71
1057,8087518,8098782,73
1058,8087518,8098782,61
1059,8098782,8136670,49
1060,8098782,8117213,71
1061,8098782,8117213,59
1062,8098782,8136670,64
1063,8098782,8136670,76
1064,8117726,8136670,57
1065,8117726,8136670,69
1066,8136670,8155613,49
1067,8136670,8155613,64
1068,8136670,8155613,76
1069,8136670,8181726,69
1070,8136670,8181726,57
1071,8155613,8205790,64
1072,8155613,8205790,47
1073,8155613,8205790,76
1074,8182238,8205790,68
1075,8182238,8205790,56
1076,8205790,8250333,55
1077,8205790,8225246,64
1078,8205790,8225246,76
1079,8205790,8225246,46
1080,8205790,8250333,67
1081,8225246,8267742,47
1082,8225246,8267742,64
1083,8225246,8267742,76
1084,8250846,8267742,66
1085,8250846,8267742,54
1086,8267742,8304606,76
1087,8267742,8284125,56
1088,8267742,8284125,59
1089,8267742,8284125,68
1090,8284125,8304606,69
1091,8284125,8304606,57
1092,8284125,8327646,47
1093,8304606,8327646,76
1094,8304606,8327646,66
1095,8304606,8327646,54
1096,8328158,8351709,75
1097,8328158,8351709,71
1098,8328158,8351709,59
1099,8328158,8351709,59
1100,8351709,8373214,76
1101,8351709,8373214,64
1102,8351709,8373214,52
1103,8351709,8373214,52
1104,8391646,8414174,64
1105,8391646,8414174,52
1106,8414174,8432606,61
1107,8414174,8451038,76
1108,8414174,8451038,45
1109,8414174,8451038,73
1110,8414174,8432606,49
1111,8432606,8451038,52
1112,8432606,8451038,64
1113,8451550,8476126,40
1114,8451550,8476126,73
1115,8451550,8476126,76
1116,8451550,8476126,69
1117,8451550,8476126,57
1118,8476126,8495070,69
1119,8476126,8495070,57
1120,8476126,8512990,74
1121,8476126,8512990,76
1122,8476126,8512990,47
1123,8495070,8512990,56
1124,8495070,8512990,68
1125,8512990,8538078,74
1126,8512990,8538078,69
1127,8512990,8538078,57
1128,8512990,8538078,76
1129,8512990,8538078,40
1130,8538590,8577502,64
1131,8538590,8577502,50
1132,8538590,8560094,71
1133,8538590,8560094,59
1134,8538590,8577502,76
1135,8560094,8564702,73
1136,8560094,8564702,61
1137,8564702,8568798,71
1138,8564702,8568798,59
1139,8568798,8577502,70
1140,8568798,8577502,58
1141,8577502,8587742,71
1142,8577502,8587742,59
1143,8577502,8599518,64
1144,8577502,8599518,76
1145,8577502,8599518,40
1146,8588254,8599518,61
1147,8588254,8599518,73
1148,8600030,8618974,71
1149,8600030,8638942,64
1150,8600030,8638942,76
1151,8600030,8618974,59
1152,8600030,8638942,49
1153,8618974,8638942,69
1154,8618974,8638942,57
1155,8638942,8657886,76
1156,8638942,8657886,49
1157,8638942,8657886,64
1158,8638942,8678878,69
1159,8638942,8678878,57
1160,8658398,8698334,47
1161,8658398,8698334,64
1162,8658398,8698334,76
1163,8678878,8698334,56
1164,8678878,8698334,68
1165,8698334,8720350,64
